Area,Bedrooms,Bathrooms,Age,Distance_City_Center,Nearby_Schools,Property_Tax,Neighborhood,Garage,Pool,House_Price
2100,3,2,5,3.2,4,4200,Standard,Yes,No,425000
1850,3,2,8,5.1,3,3800,Standard,Yes,No,385000
2450,4,3,3,2.8,5,5100,Luxury,Yes,Yes,625000
1650,2,1,12,7.3,2,3200,Budget,No,No,285000
3200,5,4,2,1.5,6,7500,Luxury,Yes,Yes,895000
1920,3,2,6,4.8,3,4100,Standard,Yes,No,410000
2280,4,2,4,3.5,4,4800,Standard,Yes,No,485000
1580,2,1,15,8.9,2,3100,Budget,No,No,265000
2850,4,3,3,2.1,5,6200,Luxury,Yes,Yes,735000
1740,3,2,9,6.2,3,3600,Standard,No,No,345000
2150,3,2,5,3.8,4,4400,Standard,Yes,No,438000
1490,2,1,18,10.5,1,2800,Budget,No,No,235000
3450,5,4,1,1.2,7,8200,Luxury,Yes,Yes,975000
1980,3,2,7,4.5,3,4000,Standard,Yes,No,395000
2320,4,3,4,3.1,5,4900,Luxury,Yes,No,548000
1620,2,1,14,8.2,2,3150,Budget,No,No,272000
2680,4,3,3,2.5,5,5800,Luxury,Yes,Yes,685000
1780,3,2,10,6.8,2,3700,Standard,No,No,358000
2920,4,3,2,1.8,6,6500,Luxury,Yes,Yes,785000
1550,2,1,16,9.1,2,2950,Budget,No,No,248000
2050,3,2,6,4.2,4,4150,Standard,Yes,No,418000
1710,3,2,11,7.1,2,3500,Standard,No,No,335000
3100,5,4,2,1.6,6,7200,Luxury,Yes,Yes,865000
1890,3,2,8,5.5,3,3900,Standard,Yes,No,392000
2380,4,3,4,3.3,4,5000,Luxury,Yes,No,562000
1480,2,1,19,11.2,1,2750,Budget,No,No,228000
2750,4,3,3,2.3,5,6000,Luxury,Yes,Yes,712000
1820,3,2,9,6.5,3,3750,Standard,Yes,No,368000
3350,5,4,1,1.3,7,7900,Luxury,Yes,Yes,945000
1680,2,2,13,7.8,2,3400,Budget,Yes,No,298000
2180,3,2,5,3.6,4,4500,Standard,Yes,No,445000
1520,2,1,17,9.8,1,2900,Budget,No,No,242000
2580,4,3,3,2.6,5,5500,Luxury,Yes,Yes,648000
1950,3,2,7,4.9,3,3950,Standard,Yes,No,402000
2420,4,3,4,3.2,5,5150,Luxury,Yes,No,575000
1590,2,1,15,8.6,2,3050,Budget,No,No,268000
2820,4,3,2,2.0,5,6300,Luxury,Yes,Yes,752000
1760,3,2,10,6.4,3,3650,Standard,No,No,352000
3000,5,4,2,1.7,6,6900,Luxury,Yes,Yes,825000
1640,2,1,14,8.5,2,3250,Budget,No,No,278000
2100,3,2,6,4.0,4,4250,Standard,Yes,No,428000
1690,3,2,11,7.2,2,3450,Standard,No,No,338000
3250,5,4,1,1.4,7,7650,Luxury,Yes,Yes,915000
1920,3,2,8,5.3,3,3850,Standard,Yes,No,398000
2340,4,3,4,3.4,4,4950,Luxury,Yes,No,555000
1510,2,1,18,10.1,1,2850,Budget,No,No,238000
2650,4,3,3,2.4,5,5700,Luxury,Yes,Yes,672000
1800,3,2,9,6.1,3,3700,Standard,Yes,No,362000
2980,4,3,2,1.9,6,6700,Luxury,Yes,Yes,805000
1570,2,1,16,9.3,2,3000,Budget,No,No,252000
2120,3,2,5,3.7,4,4350,Standard,Yes,No,435000
1730,3,2,10,6.9,2,3550,Standard,No,No,345000
3150,5,4,2,1.5,6,7350,Luxury,Yes,Yes,885000
1880,3,2,8,5.4,3,3900,Standard,Yes,No,388000
2360,4,3,4,3.3,5,4980,Luxury,Yes,No,565000
1460,2,1,19,11.5,1,2700,Budget,No,No,225000
2720,4,3,3,2.2,5,5950,Luxury,Yes,Yes,698000
1840,3,2,9,6.3,3,3800,Standard,Yes,No,375000
3400,5,4,1,1.1,7,8100,Luxury,Yes,Yes,965000
1660,2,2,13,7.9,2,3350,Budget,Yes,No,292000
2140,3,2,5,3.9,4,4400,Standard,Yes,No,442000
1540,2,1,17,9.6,1,2950,Budget,No,No,245000
2620,4,3,3,2.7,5,5600,Luxury,Yes,Yes,662000
1970,3,2,7,4.7,3,4000,Standard,Yes,No,408000
2460,4,3,4,3.1,5,5200,Luxury,Yes,No,582000
1610,2,1,15,8.8,2,3100,Budget,No,No,275000
2880,4,3,2,2.1,5,6400,Luxury,Yes,Yes,768000
1790,3,2,10,6.6,3,3700,Standard,No,No,358000
3050,5,4,2,1.6,6,7050,Luxury,Yes,Yes,842000
1630,2,1,14,8.3,2,3200,Budget,No,No,282000
2080,3,2,6,4.1,4,4200,Standard,Yes,No,422000
1700,3,2,11,7.0,2,3500,Standard,No,No,342000
3300,5,4,1,1.3,7,7800,Luxury,Yes,Yes,935000
1900,3,2,8,5.2,3,3850,Standard,Yes,No,395000
2300,4,3,4,3.5,4,4900,Luxury,Yes,No,548000
1490,2,1,18,10.8,1,2800,Budget,No,No,232000
2690,4,3,3,2.5,5,5850,Luxury,Yes,Yes,688000
1810,3,2,9,6.4,3,3750,Standard,Yes,No,365000
2950,4,3,2,1.8,6,6650,Luxury,Yes,Yes,795000
1580,2,1,16,9.2,2,3000,Budget,No,No,255000
2160,3,2,5,3.8,4,4450,Standard,Yes,No,448000
1750,3,2,10,6.7,2,3600,Standard,No,No,348000
3180,5,4,2,1.5,6,7450,Luxury,Yes,Yes,895000
1860,3,2,8,5.6,3,3880,Standard,Yes,No,385000
2400,4,3,4,3.2,5,5050,Luxury,Yes,No,572000
1470,2,1,19,11.3,1,2750,Budget,No,No,228000
2780,4,3,3,2.3,5,6050,Luxury,Yes,Yes,718000
1830,3,2,9,6.2,3,3780,Standard,Yes,No,372000
3380,5,4,1,1.2,7,8000,Luxury,Yes,Yes,955000
1670,2,2,13,7.7,2,3380,Budget,Yes,No,295000
2110,3,2,5,3.9,4,4300,Standard,Yes,No,432000
1530,2,1,17,9.9,1,2900,Budget,No,No,242000
2640,4,3,3,2.6,5,5650,Luxury,Yes,Yes,675000
1960,3,2,7,4.8,3,3980,Standard,Yes,No,405000
